2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 29.47 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 34.35 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 39.22 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 44.10 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 48.98 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 53.86 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 58.76 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 63.65 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 68.54 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 73.43 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 76.88 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 80.33 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 83.77 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 87.22 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 90.60 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 94.06 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 97.47 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 100.92 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 104.36 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 107.81 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 111.25 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 114.66 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 118.11 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 121.50 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 124.92 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 128.23 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 131.57 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 134.89 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 138.22 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 141.58 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 144.91 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 148.23 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 151.54 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 154.85 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 158.16 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 161.47 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 164.78 | seconds power is 13 | number of threads is 8 | block size is 16,,,
elapsed time = 168.09 | seconds power is 14 | number of threads is 8 | block size is 16,,,
elapsed time = 171.40 | seconds power is 15 | number of threads is 8 | block size is 16,,,
elapsed time = 174.71 | seconds power is 16 | number of threads is 8 | block size is 16,,,
elapsed time = 178.07 | seconds power is 2 | number of threads is 8 | block size is 32,,,
elapsed time = 181.43 | seconds power is 3 | number of threads is 8 | block size is 32,,,
elapsed time = 184.79 | seconds power is 4 | number of threads is 8 | block size is 32,,,
elapsed time = 188.16 | seconds power is 5 | number of threads is 8 | block size is 32,,,
elapsed time = 191.53 | seconds power is 6 | number of threads is 8 | block size is 32,,,
elapsed time = 194.90 | seconds power is 7 | number of threads is 8 | block size is 32,,,
elapsed time = 198.26 | seconds power is 8 | number of threads is 8 | block size is 32,,,
elapsed time = 201.63 | seconds power is 9 | number of threads is 8 | block size is 32,,,
elapsed time = 205.00 | seconds power is 10 | number of threads is 8 | block size is 32,,,
elapsed time = 208.36 | seconds power is 11 | number of threads is 8 | block size is 32,,,
elapsed time = 211.73 | seconds power is 12 | number of threads is 8 | block size is 32,,,
elapsed time = 215.09 | seconds power is 13 | number of threads is 8 | block size is 32,,,
elapsed time = 218.47 | seconds power is 14 | number of threads is 8 | block size is 32,,,
elapsed time = 221.83 | seconds power is 15 | number of threads is 8 | block size is 32,,,
elapsed time = 225.18 | seconds power is 16 | number of threads is 8 | block size is 32,,,
elapsed time = 228.45 | seconds power is 2 | number of threads is 8 | block size is 64,,,
elapsed time = 231.74 | seconds power is 3 | number of threads is 8 | block size is 64,,,
elapsed time = 235.03 | seconds power is 4 | number of threads is 8 | block size is 64,,,
elapsed time = 238.31 | seconds power is 5 | number of threads is 8 | block size is 64,,,
elapsed time = 241.59 | seconds power is 6 | number of threads is 8 | block size is 64,,,
elapsed time = 244.85 | seconds power is 7 | number of threads is 8 | block size is 64,,,
